asin,brand,avg_rating,activeness
B005DHN6E2,1,4.58,23132.9812
B005EISOSS,6,4.88,618.5545
B005EISP96,6,4.71,2290.3708
B005EISPW8,6,4.25,151.3391
B005EISPOG,6,4.8,5321.1255
B005EISPCS,6,4.23,493.1351
B005EISPI2,6,4.67,622.2555
B005EISP3M,6,4.89,166.1016
B005EISPLE,6,4.67,4239.6871
B005EISPF0,6,4.93,262.6481
B005EISPR8,6,5.0,76.1315
B005EISP6O,6,4.75,74.2832
B005EISOUQ,6,4.86,2545.6858
B005EISOOC,6,4.83,1761.8103
B005ESMF5G,1,4.6,13016.1344
B005ESMMWW,1,4.7,33066.2414
B005ESMFP6,1,4.7,6192.2885
B005ESMJ02,1,4.63,27101.2843
B005ESMG1E,1,4.56,498.7904
B005ESMJCU,1,4.67,3491.012
B005TIHMHW,34,3.0,38.1498
B005TNHWS6,35,4.15,246.2228
B005VSYOFS,36,5.0,19.0174
B005VUPI7O,6,4.78,168.1213
B005XEF7R4,37,4.43,1038.0328
B0062ONBC2,6,4.75,1205.7289
B0062ONFHI,6,4.83,228.2881
B0062ONF64,6,4.7,4673.4077
B0062ON8M0,6,4.83,113.5954
B0062ONA9Q,6,4.8,960.7426
B0062ONETC,6,4.69,2318.4679
B0062ONI5W,6,4.0,93.4548
B0062ONG18,6,4.71,265.674
B0062ONDMK,6,4.83,227.5865
B0062ONAM8,6,4.87,3777.7311
B0062ONL9K,6,5.0,18.9084
B0062ONBKY,6,4.72,336.9129
B0062ONJRE,6,4.73,7690.5468
B0062ONGO0,6,4.44,299.0192
B0062ONCQC,6,4.79,819.307
B0062ONKA0,6,4.71,321.8716
B0062ONB0Y,6,5.0,75.1273
B0062ONDX4,6,4.8,189.3
B0062ON91K,6,4.59,1054.3338
B0062ONNL6,6,5.0,92.4506
B0062ON9CE,6,5.0,18.8174
B0062ONJEM,6,4.76,549.2573
B0062ONJ6U,6,4.8,10723.5323
B0062ONLI6,6,4.13,427.7413
B0062ONM0I,6,5.0,185.3423
B00657ALBA,38,4.5,227.951
B0066AZGJI,6,4.63,14816.0553
B0066AZGD4,6,4.64,41553.9368
B0069VHL5Q,6,4.76,4030.0245
B006NQD8HM,6,2.33,56.4215
B006PJHPKI,39,4.91,932.3974
B006PJI0Y8,40,4.75,2753.615
B006PJHP62,16,4.58,14992.1448
B006PJHPV2,41,4.66,4935.708
B006PJI03Y,23,4.6,2909.6658
B006PJHS50,42,4.72,1825.902
B00747SAOK,43,5.0,19.0478
B0078EPBHI,24,4.77,7064.8924
B0078EPB78,44,4.61,1208.6786
B0078EPRPE,22,4.62,5395.0107
B0078EPRVS,45,4.61,5767.413
B007EE5I6G,1,4.03,1755.3319
B007EE5YMY,1,4.62,148.4672
B007EE5X48,1,4.69,238.8924
B007EE5PEQ,1,5.0,495.1236
B007EE5KKK,1,4.81,954.1896
B007HR1JWC,1,4.5,73.924
B007HR1E2W,1,4.9,375.1024
B007I0G9PU,8,3.62,760.9833
B007JXAY9S,46,4.67,114.2629
B007RFFX26,1,4.48,451.9919
B007V5WJOM,6,4.84,3463.5609
B007V6ETLW,6,4.61,1066.438
B007V6ETXA,6,4.89,11809.4211
B007V6ETDK,6,4.8,34509.0202
B007WL1YC8,47,1.0,19.0534
B0080IR6BA,1,4.44,11533.9766
B00895H7FO,6,4.69,3801.786
B0089CQTVK,48,4.0,19.1323
B008SA3BVY,49,1.0,19.0734
B00910XGTM,50,4.71,4505.1209
B009110O8C,51,4.79,1613.0703
B00911NGTG,52,4.5,2738.9004
B0091JKPDI,1,4.47,2466.8735
B0091JKJ0M,1,4.73,31936.7101
B0091JKY0M,1,4.68,45175.6996
B0091JKVU0,1,4.77,61993.7106
B0091JL3OI,1,4.79,34504.9302
B0093DHOA4,53,5.0,56.3979
B0096DXVCQ,54,5.0,37.9832
B0096JUBZ0,55,5.0,18.6985
B009CBHNXA,56,4.44,303.9349
B009GIEPFI,57,5.0,19.052
B009HE86FQ,58,4.67,1897.9644
B009SB14K2,59,3.52,713.4375
B009T8NYFC,60,3.0,38.0978
B009T8O7LW,61,4.55,209.0749
B009T8NJIY,62,2.4,95.0126
B009T8O4E2,63,4.08,228.1291
B009T8N0OW,64,5.0,57.0472
B009T8MWQ4,65,4.0,18.9972
B009T8NHO0,66,3.85,247.1688
B009WD15PU,1,5.0,54.5546
B009WD17DK,1,5.0,18.2533
B009WD17SA,1,5.0,18.1398
B009WD3F2Q,1,5.0,17.1719
B009XFXW4E,4,5.0,17.1957
B00A40UJCU,7,4.07,265.79
B00A48G1X8,6,4.68,695.0692
B00A4CRRH8,67,3.15,245.2368
B00A4EK106,6,4.79,2641.7108
B00A4EK69C,6,4.79,15821.188
B00A4NSZH8,6,3.67,56.7279
B00A4NSUYQ,6,4.28,549.527
B00A7BQ44S,68,1.0,18.6067
B00A82RPLC,69,2.0,76.1281
B00ACA3T06,6,3.8,93.6029
B00ACA3UB4,6,4.57,3398.7599
B00ACA3TII,6,5.0,132.6665
B00ACA3TWO,6,4.75,76.0963
B00ACA3UMS,6,4.72,4182.4703
B00ACA3VW2,6,4.75,75.1631
B00ADR2XIC,1,4.26,17244.7196
B00AF0KAWI,6,4.92,687.2515
B00AF0K9BA,6,4.73,2943.5999
B00AF0KA6E,6,4.64,202.5421
B00AF0K82U,6,4.72,14919.7386
B00AF0K90Q,6,4.77,6796.1349
B00AF0K9PQ,6,5.0,74.597
B00AF0KAI2,6,4.76,629.31
B00AFCV7VY,70,5.0,54.0621
B00AFJBBJK,6,3.0,38.1076
B00AI1GRBM,71,5.0,18.6259
B00AMLQ790,6,4.92,452.4726
B00AMLQ7UO,6,5.0,75.4258
B00ANW1LSA,8,3.0,38.1099
B00AR51Y5I,8,4.71,30402.7551
B00AS527QW,72,4.72,8658.4488
B00ATFCAXQ,73,5.0,36.3764
B00B0102K6,74,5.0,19.0269
B00B0J11K8,75,5.0,19.0064
B00B2TFH3I,6,4.67,2299.5987
B00B2TFI4G,6,5.0,113.6407
B00B2TFJEA,6,4.82,1808.0338
B00B2TFQJ8,6,4.8,94.0217
B00B2TFNIW,6,4.82,1934.3154
B00B2TFA5I,6,5.0,18.8341
B00B2TFDUA,6,5.0,18.7319
B00B2TF61G,6,4.79,4323.2191
B00B2TFKHG,6,4.78,3141.7796
B00B2TFSO6,6,4.81,28219.7143
B00B2TFRNI,6,5.0,313.6278
B00B2TFBGG,6,4.74,991.8156
B00B2TFTIG,6,3.88,151.1234
B00B2TFM3I,6,3.6,94.4982
B00B2TFURQ,6,4.72,5020.6538
B00BCTY1E4,76,4.76,608.9319
B00BSXWOLG,6,4.82,2522.7575
B00BSXWNTY,6,4.68,870.8994
B00BSXWO52,6,4.79,1749.9428
B00BSXWOR0,6,4.71,1176.697
B00BSXWOWU,6,4.82,411.3508
B00BSXWOAC,6,4.92,677.614
B00BSXWNHQ,6,4.72,332.5319
B00BSXWOE8,6,5.0,242.576
B00BSXWNXK,6,4.97,594.4793
B00BSXWP74,6,5.0,56.6698
B00BT1XFBU,6,4.71,2827.0842
B00BT1XF5Q,6,4.67,1592.8978
B00BT1XEZM,6,4.6,1546.0018
B00BT1XEB6,6,4.67,774.0851
B00BWDHB5G,6,4.79,777.1279
B00BWDGY0E,6,4.78,2929.9846
B00BWDHCFK,6,4.96,946.6681
B00BWDHT62,6,4.0,56.8821
B00BWDH7SC,6,4.56,499.4477
B00BWDHW2S,6,4.55,206.9399
B00BWDHS04,6,5.0,37.7466
B00BWDHUWA,6,4.6,1373.2248
B00BWDHYYY,6,3.0,36.9885
B00BWDHVC4,6,4.46,735.5681
B00BWDHSFO,6,3.4,94.556
B00BWDHTQW,6,4.43,132.5151
B00BWDHOLW,6,4.65,375.0895
B00BWDH2O6,6,4.81,3548.4143
B00BWDGYL8,6,4.72,2867.9483
B00BWDHQI8,6,4.5,151.0393
B00BWDHRKA,6,5.0,37.769
B00BWDH0LQ,6,4.68,2318.7592
B00BWDHWNC,6,4.43,564.4249
B00BWDHX9K,6,3.33,170.4211
B00BWDI3E4,6,5.0,18.8859
B00BWDI5TM,6,4.25,75.3658
B00BWDH4DK,6,4.84,5115.2889
B00BWDHXPE,6,3.71,131.7863
B00BWDHU9I,6,5.0,56.544
B00BWDHQY2,6,5.0,113.4026
B00BWDH8C2,6,4.61,333.3443
B00BWDHBU6,6,4.74,1748.8661
B00BWDI10U,6,5.0,18.7795
B00BWDI6JQ,6,3.67,56.5322
B00BWDI41Q,6,5.0,18.9423
B00BWDHZL6,6,5.0,18.9776
B00BXLSGHO,77,4.57,8434.2185
B00BXLSR2S,78,4.61,870.3989
B00BXLSPGQ,30,4.55,1817.405
B00BXLSWGY,79,4.84,898.1633
B00BXLT3VC,80,4.84,681.9713
B00BXLSSOU,81,4.69,1108.8624
B00BXLT8M6,82,4.66,1431.09
B00BXLSUF2,83,4.59,2987.7415
B00BXLTM0E,84,4.85,2348.3262
B00BXLU0M8,85,4.6,180.2106
B00BXLSZPM,86,4.69,4705.0831
B00BXLTMRC,87,3.87,562.3806
B00BXLUDXO,25,4.2,1067.3414
B00BXLSM0A,88,4.75,1317.0241
B00BXLU87U,89,3.46,231.2703
B00BXLUBLS,7,5.0,17.5992
B00BXLUO1U,9,4.68,5020.6637
B00BXLTZ6K,29,4.79,3919.3178
B00BXLTJ8O,90,4.77,1384.8905
B00BXLT1UA,11,4.65,4040.0283
B00BXLTSS0,91,4.38,466.8932
B00BXLTR6S,92,3.35,6013.8255
B00BXLSIJ0,38,4.57,5407.5263
B00BXLU6CW,60,4.46,1209.3524
B00BXLUP1E,93,5.0,216.8097
B00BXLU3MU,94,4.33,54.9625
B00BXLV8J2,95,5.0,162.2796
B00BXLV46E,96,4.71,605.4805
B00BXLT5EW,97,4.8,1741.9519
B00BXLVD8I,98,4.75,1366.4504
B00BXLTUBA,63,4.58,7289.3857
B00BXLTCXG,99,5.0,52.8298
B00BXLUFQ4,66,4.82,6464.925
B00BXLV9NM,100,4.63,738.7338
B00BXLUQ6S,18,4.68,1034.3056
B00BXLVHC0,101,4.92,719.2393
B00BXLUSZ2,102,3.0,326.2545
B00BXLVXZG,103,4.83,416.3211
B00BXLUU6Y,104,3.98,791.2352
B00BXLVTRI,105,4.52,367.7706
B00BXLUMGC,106,4.29,717.2453
B00BXLV55Y,65,4.36,651.9651
B00BXLTF92,19,4.68,447.3718
B00BXLVAD6,20,4.68,7531.7893
B00BXLVQLM,107,4.43,128.4537
B00BXLWD0U,108,4.82,510.2015
B00BXLUI5M,27,4.54,1882.5756
B00BXLW5QC,109,4.67,10286.264
B00BXLW4Q8,110,4.71,4451.7502
B00BXLW9J0,111,4.68,737.5767
B00BXLWKDK,112,5.0,127.8908
B00BXLV6OY,113,5.0,179.5399
B00BXLWLC0,114,4.8,271.7115
B00BXLUXYS,115,4.69,231.8279
B00BXLURUI,116,4.79,2585.0349
B00BXLVS10,117,5.0,109.0489
B00BXLV32O,118,4.17,109.2858
B00BXLW0K8,119,3.12,276.2748
B00BXLVHZM,15,4.69,4562.3059
B00BXLVFAO,64,4.77,3347.6112
B00BXLVCLQ,98,4.93,515.439
B00BXLWBRA,120,5.0,72.8661
B00BXLU20S,121,5.0,17.9235
B00BXLVT3M,122,3.86,123.8507
B00BXLVE6Y,123,4.59,2930.3609
B00BXLVP7M,124,4.73,273.4388
B00BXLVZZE,125,5.0,161.3523
B00BXOFI1I,126,4.67,164.7812
B00BXQIGA6,35,4.66,14978.6617
B00C32SOSS,127,5.0,36.2537
B00C5UMEMA,6,4.86,4529.1872
B00C5UMCIG,6,4.73,3741.8281
B00C5UMJKC,6,4.76,639.7967
B00C5UMD6M,6,4.91,804.5934
B00C5UMHOU,6,4.82,4992.9801
B00C5UMIJ4,6,4.88,148.7288
B00C5UMJ3Y,6,5.0,18.9676
B00C5UMB7S,6,4.79,11156.5022
B00C5UMI3K,6,4.83,1760.0006
B00C5UME0M,6,5.0,168.7702
B00CHQ7I2S,1,4.71,22748.584
B00CHSWJ2K,6,4.62,149.6858
B00CHSWJE8,6,4.82,1046.9506
B00CHSWFJ2,6,5.0,184.5808
B00CHSWG6O,6,4.82,19776.3404
B00CHSWHVI,6,4.55,414.7785
B00CHSWKEM,6,4.77,6375.1724
B00CHSWGFU,6,4.79,5707.9253
B00CHSWHJK,6,4.0,75.3926
B00CHSWEJI,6,4.84,354.2737
B00CHSWK24,6,4.8,1234.6723
B00CHSWJPC,6,4.86,5579.3618
B00CHSWIVC,6,4.71,391.9034
B00CHSWI5I,6,4.67,56.4929
B00CHSWGR8,6,4.83,5466.4046
B00CHSWFRY,6,4.79,2559.3333
B00CHSWIH6,6,4.53,320.7817
B00CJ0WVYC,128,1.0,18.8897
B00CJIXEPY,129,5.0,18.8897
B00CMBPMTO,130,3.33,55.4589
B00CMFWIGA,131,4.57,127.8314
B00CRQ496G,6,4.89,1508.0505
B00CRQ4DYO,6,4.7,611.2014
B00CRQ512C,6,4.87,725.3511
B00CRQ4XA8,6,4.91,617.6723
B00CRQ4CF4,6,4.83,7210.7572
B00CRQ4RZ4,6,5.0,132.4003
B00CRQ4AYW,6,4.79,1172.0311
B00CRQ4YDE,6,4.89,504.9355
B00CRQ4URY,6,4.71,523.1448
B00CRQ43KS,6,4.4,93.6795
B00CRQ47WC,6,4.48,966.5013
B00CRQ4OYS,6,3.75,75.4407
B00CRQ4ZOM,6,4.78,1780.2458
B00CRQ4TEI,6,1.5,37.9157
B00CT774LK,6,4.67,910.3012
B00CT777M6,6,4.9,557.8325
B00CT797R4,6,4.97,555.4526
B00CT7ATEY,6,3.0,18.8881
B00CT783OC,6,4.85,896.0396
B00CT7AWCI,6,4.17,113.0838
B00CT7874I,6,4.56,968.6108
B00CT7C03M,6,4.67,56.5952
B00CT79116,6,4.72,1212.3696
B00CT7CX2U,6,5.0,18.7526
B00CT7BGFA,6,4.95,413.1718
B00CT7CQ6I,6,5.0,18.7891
B00CT7D74S,6,4.67,56.696
B00CT78IIS,6,4.83,1213.1189
B00CT79ABW,6,4.91,974.5868
B00CT7ALME,6,3.0,18.9631
B00CT7CJC4,6,5.0,37.6057
B00CT7BD9O,6,4.55,544.0428
B00CT7CDRU,6,4.6,94.3301
B00CT7AZ4I,6,4.5,75.624
B00CT7C42Y,6,5.0,37.735
B00CT7BN3A,6,5.0,37.4969
B00CT7BJ98,6,3.0,37.7268
B00CT7CAK0,6,5.0,94.0679
B00CT7A49O,6,4.05,354.6639
B00CT7BWU4,6,5.0,37.7433
B00CT7D16C,6,4.67,56.5487
B00CT76TBG,6,4.73,910.3915
B00CT7AC7I,6,4.79,528.9915
B00CT7AOQ2,6,5.0,18.9253
B00CT7BPUQ,6,5.0,37.724
B00CT7DFY0,6,3.67,56.329
B00CT7DW6Q,6,5.0,18.7198
B00CT7DJZ0,6,5.0,18.6912
B00CT7C6LS,6,5.0,18.8539
B00CT7E2M4,6,5.0,18.8232
B00CT7B2KO,6,4.25,75.519
B00CXZP4L0,132,5.0,35.1964
B00CXZPG0O,46,4.79,9539.2798
B00CXZP74Y,133,4.67,106.8868
B00CY08CVI,134,3.0,18.8722
B00D2ZUNBQ,135,4.85,378.8414
B00DJ9JLWW,136,5.0,18.7975
B00DNAGEBI,137,4.5,141.3977
B00DNAGTIQ,138,4.71,3646.8245
B00DNHLJM0,6,4.5,37.6001
B00DNHLUTM,6,5.0,36.9214
B00DP7ERFO,139,5.0,18.6103
B00DRPEJQ6,140,5.0,18.8783
B00DVO0KCA,141,2.0,18.948
B00DVT5TD0,142,5.0,94.8162
B00DWIH8HU,143,3.67,105.3216
B00DWIHBY0,144,3.6,91.3002
B00E1PGRVG,145,1.0,18.7722
B00E1QAUUE,6,4.0,148.2713
B00E1QB6ZC,6,4.73,2470.6679
B00E1QAZ6I,6,5.0,18.9428
B00E1QAXWO,6,4.76,1872.2857
B00E1QAWEI,6,4.43,130.5448
B00E1QB2K6,6,5.0,37.6708
B00E1QAWXE,6,4.75,2002.088
B00E1QB4U4,6,4.0,111.5039
B00E1QB7VK,6,4.82,631.4517
B00E1QB5EO,6,4.78,167.5687
B00E6GZIBK,146,3.0,18.5559
B00EDYJC8A,147,5.0,18.644
B00EEHV8DI,77,4.67,2998.3367
B00EEHVIBK,83,4.75,364.7058
B00EEZ3CSY,148,2.33,56.336
B00ELQD11E,149,4.53,7127.5649
B00ELQD5K6,150,4.94,327.2115
B00ELQD0DS,21,4.77,2309.9384
B00EPLSMGY,6,4.73,481.001
B00EPLSS68,6,4.69,293.8839
B00EPLSYH6,6,5.0,18.7992
B00EPLT448,6,4.83,555.8798
B00EPLT2W2,6,4.68,466.7612
B00EPLSTE4,6,4.95,369.7923
B00EPLT6C8,6,4.91,204.6787
B00EPLT7NQ,6,4.89,687.4726
B00EPLSUWA,6,4.76,950.2598
B00EPLSQVK,6,4.76,313.7092
B00EPLT5CE,6,4.71,259.5996
B00ET5WASC,16,4.6,628.6217
B00ET5WBU4,92,3.96,1888.1868
B00EVW58UK,151,5.0,18.8978
B00EW4LFKO,152,1.0,18.5056
B00F0XCG9K,153,5.0,18.3412
B00F2RZMEA,154,4.45,4650.4152
B00F2RZI12,155,4.56,159.3791
B00F2RZAC4,156,4.58,434.9894
B00F3ZMTO2,157,4.06,3245.0109
B00F56OO2O,6,4.82,626.3072
B00F56OENS,6,4.71,445.5169
B00F56OII4,6,4.74,496.6186
B00F56PISI,6,5.0,37.5539
B00F56P06S,6,5.0,18.7692
B00F56PD2O,6,5.0,166.7198
B00F56OJUG,6,4.67,54.2678
B00F56O7XK,6,4.89,166.5568
B00F56PFYK,6,4.97,648.6417
B00F56PL3A,6,5.0,92.9301
B00F56P9AU,6,4.73,202.5866
B00F6DN9KE,158,5.0,94.6305
B00F8MRUVW,159,5.0,53.0099
B00FA7XCIK,126,3.25,71.2019
B00FA7XD5W,126,1.0,18.8881
B00FFPW48G,160,1.6,185.0359
B00FGEHS00,161,4.82,403.6607
B00FGEHO0O,162,4.54,659.9518
B00FGEHKXU,163,4.37,822.9765
B00FJ4CDGQ,164,3.91,2521.1002
B00FRL7G7M,165,4.83,969.4758
B00FRL7O9M,166,4.74,418.7449
B00FRL7LCC,167,4.71,258.0655
B00FRL7UMS,168,4.47,537.4062
B00FTGESM6,40,4.76,1280.9418
B00FTGFAF0,23,4.97,557.6419
B00FTGF3P2,22,4.68,1464.9413
B00FTGEOB6,80,5.0,55.9186
B00FTGFFOG,20,4.83,540.3392
B00FTGSBBA,15,4.69,876.1941
B00FTGTV4Q,169,4.66,678.0931
B00FTITVAS,170,4.54,222.9642
B00FTJI60I,109,4.75,6349.3485
B00FTGSKL6,72,4.79,3039.7692
B00FTGTIOE,8,4.64,8106.4073
B00FY8W04W,171,2.0,18.8226
B00FZ5KKY6,172,5.0,73.211
B00G08KW2C,86,4.68,1114.3854
B00G3LBBGW,173,4.76,524.2362
B00G3LBDDS,174,2.99,3542.0059
B00G4IUN4K,6,4.54,691.0699
B00G4IURXW,6,4.82,6683.0305
B00G4IUWR8,6,4.5,486.5887
B00G4IUURA,6,4.51,874.3626
